PN,OD,ID,Height,AWG,Min Diameter,Nominal Diameter,Max Diameter,Effective Diameter,Turns,AL,Inductance,Fill Factor
T80-26,0.795,0.495,0.25,10.0,0.1026,0.1037,0.1047,0.105774,11,46.0,5.566,0.48276947250280583
T80-26,0.795,0.495,0.25,11.0,0.0915,0.0925,0.0936,0.09435,13,46.0,7.774,0.45395877971635545
T80-26,0.795,0.495,0.25,12.0,0.0816,0.0825,0.0835,0.08415,15,46.0,10.35,0.41666666666666674
T80-26,0.795,0.495,0.25,13.0,0.0729,0.0737,0.0746,0.075174,17,46.0,13.294,0.37685432098765437
T80-26,0.795,0.495,0.25,14.0,0.0651,0.0659,0.0666,0.067218,19,46.0,16.606,0.33675498418528726
T80-26,0.795,0.495,0.25,15.0,0.058,0.0587,0.0594,0.059874000000000004,22,46.0,22.264,0.30937732884399555
T80-26,0.795,0.495,0.25,16.0,0.0517,0.0524,0.0531,0.053448,25,46.0,28.75,0.2801510049994899
T80-26,0.795,0.495,0.25,17.0,0.0462,0.0469,0.0475,0.047838,29,46.0,38.686,0.26033543515967755
T80-26,0.795,0.495,0.25,18.0,0.0412,0.0418,0.0424,0.042636,33,46.0,50.094,0.2353185185185185
T80-26,0.795,0.495,0.25,19.0,0.0367,0.0373,0.0379,0.038046,37,46.0,62.974,0.2100917457402306
T80-26,0.795,0.495,0.25,20.0,0.0329,0.0335,0.034,0.034170000000000006,42,46.0,81.144,0.19236608509335784
T80-26,0.795,0.495,0.25,21.0,0.0293,0.0298,0.0303,0.030396,48,46.0,105.984,0.17396559534741354
T80-26,0.795,0.495,0.25,22.0,0.0261,0.0266,0.027,0.027132,54,46.0,134.136,0.15593608815427
T80-26,0.795,0.495,0.25,23.0,0.0234,0.0239,0.0243,0.024378,60,46.0,165.6,0.13987389041934498
T80-26,0.795,0.495,0.25,24.0,0.0209,0.0213,0.0217,0.021726,68,46.0,212.704,0.12590927456382
T80-26,0.795,0.495,0.25,25.0,0.0186,0.019,0.0194,0.01938,77,46.0,272.734,0.11344556677890011
T80-26,0.795,0.495,0.25,26.0,0.0166,0.017,0.0173,0.01734,86,46.0,340.216,0.10143454749515357
T80-26,0.795,0.495,0.25,27.0,0.0149,0.0153,0.0156,0.015606,96,46.0,423.936,0.09171570247933883
T80-26,0.795,0.495,0.25,28.0,0.0133,0.0137,0.014,0.013974,108,46.0,536.544,0.08272837465564738
T80-26,0.795,0.495,0.25,29.0,0.0119,0.0123,0.0126,0.012546,120,46.0,662.4,0.07409366391184573
T80-26,0.795,0.495,0.25,30.0,0.0106,0.0109,0.0112,0.011118,136,46.0,850.816,0.06594494439342924
T80-26,0.795,0.495,0.25,31.0,0.0094,0.0097,0.01,0.009894,154,46.0,1090.936,0.05913625140291807
T80-26,0.795,0.495,0.25,32.0,0.0085,0.0088,0.009,0.008976000000000001,170,46.0,1329.4,0.05372839506172839
T80-26,0.795,0.495,0.25,33.0,0.0075,0.0078,0.0081,0.007956,192,46.0,1695.744,0.04767382920110192
T80-26,0.795,0.495,0.25,34.0,0.0067,0.007,0.0072,0.0071400000000000005,214,46.0,2106.616,0.04279563309866341
T80-26,0.795,0.495,0.25,35.0,0.0059,0.0062,0.0065,0.006324,242,46.0,2693.944,0.03796543209876543
T80-26,0.795,0.495,0.25,36.0,0.0053,0.0056,0.0058,0.005712,269,46.0,3328.606,0.034428486889092946
T184-26,1.84,0.95,0.71,10.0,0.1026,0.1037,0.1047,0.105774,25,169.0,105.625,0.29788614958448756
T184-26,1.84,0.95,0.71,11.0,0.0915,0.0925,0.0936,0.09435,28,169.0,132.496,0.26545706371191136
T184-26,1.84,0.95,0.71,12.0,0.0816,0.0825,0.0835,0.08415,32,169.0,173.056,0.24132963988919673
T184-26,1.84,0.95,0.71,13.0,0.0729,0.0737,0.0746,0.075174,36,169.0,219.024,0.2166657506925208
T184-26,1.84,0.95,0.71,14.0,0.0651,0.0659,0.0666,0.067218,41,169.0,284.089,0.19729109141274237
T184-26,1.84,0.95,0.71,15.0,0.058,0.0587,0.0594,0.059874000000000004,46,169.0,357.604,0.1756251966759003
